,Date,Bitcoin,Ethereum,Bitcoin log returns,Ethereum log returns,BTC_lag,ETH_lag
0,2016-03-17,418.2,10.74,0.005514940245667788,-0.181700631595489,0.001925391689872491,-0.013878403172077558
1,2016-03-18,408.2,10.74,-0.02420253661878924,0.0,0.005514940245667788,-0.181700631595489
2,2016-03-19,408.7,10.31,0.0012241401944868002,-0.0408607910518497,-0.02420253661878924,0.0
3,2016-03-20,411.5,10.18,0.006827629546893199,-0.012689286906492292,0.0012241401944868002,-0.0408607910518497
4,2016-03-21,411.1,11.95,-0.0009725262132915802,0.1603062672551432,0.006827629546893199,-0.012689286906492292
5,2016-03-22,416.2,11.37,0.01232942005570159,-0.04975297061507522,-0.0009725262132915802,0.1603062672551432
6,2016-03-23,417.0,12.43,0.0019203078392671102,0.08913459776017518,0.01232942005570159,-0.04975297061507522
7,2016-03-24,414.7,11.2,-0.0055308545464658465,-0.10419912722157099,0.0019203078392671102,0.08913459776017518
8,2016-03-25,415.7,10.67,0.002408479006255959,-0.04847771298738657,-0.0055308545464658465,-0.10419912722157099
9,2016-03-26,416.5,11.0,0.001922615348306067,0.03045920748470854,0.002408479006255959,-0.04847771298738657
10,2016-03-27,424.6,10.4,0.019261087662258092,-0.05608946665104364,0.001922615348306067,0.03045920748470854
11,2016-03-28,422.2,11.62,-0.005668413854935217,0.11092194527643828,0.019261087662258092,-0.05608946665104364
12,2016-03-29,415.0,11.79,-0.01720061518352267,0.014523963125514072,-0.005668413854935217,0.11092194527643828
13,2016-03-30,412.4,11.85,-0.0062847680878928,0.0050761530318608195,-0.01720061518352267,0.014523963125514072
14,2016-03-31,415.7,11.41,0.00797009411578653,-0.03783770370715578,-0.0062847680878928,0.0050761530318608195
15,2016-04-01,415.6,11.62,-0.00024058703351936828,0.018237587549780887,0.00797009411578653,-0.03783770370715578
16,2016-04-02,418.5,11.61,0.006953630704457758,-0.0008609557139651614,-0.00024058703351936828,0.018237587549780887
17,2016-04-03,419.1,11.75,0.0014326650014959696,0.01198644488036793,0.006953630704457758,-0.0008609557139651614
18,2016-04-04,419.3,11.15,0.0004770992456908374,-0.05241374268404009,0.0014326650014959696,0.01198644488036793
19,2016-04-05,422.1,10.4,0.00665559861173648,-0.06963369175880096,0.0004770992456908374,-0.05241374268404009
20,2016-04-06,421.3,10.76,-0.0018970838034819693,0.03402974858631147,0.00665559861173648,-0.06963369175880096
21,2016-04-07,420.1,10.12,-0.0028523908096351747,-0.06132189087431916,-0.0018970838034819693,0.03402974858631147
22,2016-04-08,417.7,9.71,-0.005729306672206391,-0.041357381556085926,-0.0028523908096351747,-0.06132189087431916
23,2016-04-09,418.0,9.15,0.0007179610216265786,-0.05940240301580335,-0.005729306672206391,-0.041357381556085926
24,2016-04-10,420.3,8.76,0.005487309486314373,-0.04355797433913011,0.0007179610216265786,-0.05940240301580335
25,2016-04-11,421.4,8.68,0.0026137593590176422,-0.00917437627604123,0.005487309486314373,-0.04355797433913011
26,2016-04-12,424.7,7.53,0.0078005359491371,-0.1421264868604566,0.0026137593590176422,-0.00917437627604123
27,2016-04-13,423.5,8.09,-0.0028295232271160486,0.07173368925859824,0.0078005359491371,-0.1421264868604566
28,2016-04-14,424.0,8.46,0.0011799411398483173,0.044720442547731665,-0.0028295232271160486,0.07173368925859824
29,2016-04-15,428.7,8.32,0.011023918371973807,-0.016686918785014715,0.0011799411398483173,0.044720442547731665
30,2016-04-16,430.0,8.54,0.0030278350836763224,0.026098752967361083,0.011023918371973807,-0.016686918785014715
31,2016-04-17,426.3,9.46,-0.008641884916443132,0.10231137526330869,0.0030278350836763224,0.026098752967361083
32,2016-04-18,427.7,8.97,0.0032786914616984575,-0.05318670699308248,-0.008641884916443132,0.10231137526330869
33,2016-04-19,434.9,8.71,0.016694104370729157,-0.029413885206293067,0.0032786914616984575,-0.05318670699308248
34,2016-04-20,441.2,8.61,0.014382167775755406,-0.011547472424772387,0.016694104370729157,-0.029413885206293067
35,2016-04-21,449.3,8.11,0.018192528696766352,-0.059826450312317814,0.014382167775755406,-0.011547472424772387
36,2016-04-22,445.3,7.97,-0.008942603748457678,-0.01741337532519749,0.018192528696766352,-0.059826450312317814
37,2016-04-23,450.1,8.46,0.01072156797123025,0.059664680816008175,-0.008942603748457678,-0.01741337532519749
38,2016-04-24,457.6,8.1,0.016525659766701395,-0.04348511193973881,0.01072156797123025,0.059664680816008175
39,2016-04-25,461.7,7.54,0.008919889447355445,-0.0716418796585283,0.016525659766701395,-0.04348511193973881
40,2016-04-26,466.0,7.5,0.009270304612702063,-0.005319161477600254,0.008919889447355445,-0.0716418796585283
41,2016-04-27,447.0,7.8,-0.04162703951207636,0.03922071315328157,0.009270304612702063,-0.005319161477600254
42,2016-04-28,448.5,7.33,0.003350086885281378,-0.062148217796986094,-0.04162703951207636,0.03922071315328157
43,2016-04-29,455.0,7.52,0.014388737452099676,0.025590622063188073,0.003350086885281378,-0.062148217796986094
44,2016-04-30,448.5,8.87,-0.014388737452099676,0.16510865835973965,0.014388737452099676,0.025590622063188073
45,2016-05-01,452.2,8.75,0.008215878345018801,-0.013621095951964701,-0.014388737452099676,0.16510865835973965
46,2016-05-02,444.2,10.0,-0.017849648383542416,0.13353139262452274,0.008215878345018801,-0.013621095951964701
47,2016-05-03,450.3,9.34,0.013639115847198902,-0.06827884075329482,-0.017849648383542416,0.13353139262452274
48,2016-05-04,445.8,9.46,-0.010043606355757184,0.012766130823036015,0.013639115847198902,-0.06827884075329482
